2016-06-04T09:53:45.530902
E0:43:DB	Shenzhen ViewAt Technology Co.,Ltd.
24:05:F5	Integrated Device Technology (Malaysia) Sdn. Bhd.
2C:30:33	NETGEAR
3C:D9:2B	Hewlett Packard
9C:8E:99	Hewlett Packard
B4:99:BA	Hewlett Packard
1C:C1:DE	Hewlett Packard
3C:35:56	Cognitec Systems GmbH
00:50:BA	D-Link Corporation
00:17:9A	D-Link Corporation
1C:BD:B9	D-Link International
90:94:E4	D-Link International
28:10:7B	D-Link International
1C:7E:E5	D-Link International
C4:A8:1D	D-Link International
18:62:2C	Sagemcom Broadband SAS
7C:03:D8	Sagemcom Broadband SAS
E8:F1:B0	Sagemcom Broadband SAS
00:F8:71	DGS Denmark A/S
20:BB:76	COL GIOVANNI PAOLO SpA
2C:22:8B	CTR SRL
34:8A:AE	Sagemcom Broadband SAS
BC:EC:23	SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD
8C:E7:48	Private
F0:9C:E9	Aerohive Networks Inc.
C4:13:E2	Aerohive Networks Inc.
AC:06:C7	ServerNet S.r.l.
CC:46:D6	Cisco Systems, Inc
48:AD:08	HUAWEI TECHNOLOGIES CO.,LTD
2C:AB:00	HUAWEI TECHNOLOGIES CO.,LTD
00:E0:FC	HUAWEI TECHNOLOGIES CO.,LTD
24:DF:6A	HUAWEI TECHNOLOGIES CO.,LTD
00:9A:CD	HUAWEI TECHNOLOGIES CO.,LTD
00:CD:FE	Apple, Inc.
38:F2:3E	Microsoft Mobile Oy
58:AC:78	Cisco Systems, Inc
90:7F:61	Chicony Electronics Co., Ltd.
28:BC:18	SourcingOverseas Co. Ltd
80:7A:BF	HTC Corporation
40:9F:87	Jide Technology (Hong Kong) Limited
3C:5A:B4	Google, Inc.
00:1A:11	Google, Inc.
D8:3C:69	Shenzhen TINNO Mobile Technology Corp.
74:AC:5F	Qiku Internet Network Scientific (Shenzhen) Co., Ltd.
18:AF:61	Apple, Inc.
BC:83:A7	SHENZHEN CHUANGWEI-RGB ELECTRONICS CO.,LTD
00:03:47	Intel Corporation
00:11:75	Intel Corporation
00:13:E8	Intel Corporate
00:13:02	Intel Corporate
E4:F8:9C	Intel Corporate
A4:02:B9	Intel Corporate
4C:34:88	Intel Corporate
00:0D:0B	BUFFALO.INC
00:07:40	BUFFALO.INC
00:24:A5	BUFFALO.INC
DC:FB:02	BUFFALO.INC
F4:CE:46	Hewlett Packard
00:1C:C4	Hewlett Packard
00:25:B3	Hewlett Packard
00:18:71	Hewlett Packard
00:0B:CD	Hewlett Packard
00:0E:7F	Hewlett Packard
00:0F:20	Hewlett Packard
00:11:0A	Hewlett Packard
00:13:21	Hewlett Packard
00:16:35	Hewlett Packard
00:17:A4	Hewlett Packard
00:08:02	Hewlett Packard
90:E7:C4	HTC Corporation
74:A7:8E	zte corporation
D8:60:B0	bioMérieux Italia S.p.A.
80:38:BC	HUAWEI TECHNOLOGIES CO.,LTD
D4:40:F0	HUAWEI TECHNOLOGIES CO.,LTD
64:A6:51	HUAWEI TECHNOLOGIES CO.,LTD
E8:CD:2D	HUAWEI TECHNOLOGIES CO.,LTD
AC:E2:15	HUAWEI TECHNOLOGIES CO.,LTD
EC:23:3D	HUAWEI TECHNOLOGIES CO.,LTD
78:F5:FD	HUAWEI TECHNOLOGIES CO.,LTD
80:B6:86	HUAWEI TECHNOLOGIES CO.,LTD
10:C6:1F	HUAWEI TECHNOLOGIES CO.,LTD
88:53:D4	HUAWEI TECHNOLOGIES CO.,LTD
0C:37:DC	HUAWEI TECHNOLOGIES CO.,LTD
BC:76:70	HUAWEI TECHNOLOGIES CO.,LTD
24:DB:AC	HUAWEI TECHNOLOGIES CO.,LTD
BC:3A:EA	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
E8:BB:A8	GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD
00:21:E8	Murata Manufacturing Co., Ltd.
00:60:57	Murata Manufacturing Co., Ltd.
00:07:D8	Hitron Technologies. Inc
00:12:F2	Brocade Communications Systems, Inc.
00:1B:ED	Brocade Communications Systems, Inc.
00:24:38	Brocade Communications Systems, Inc.
84:74:2A	zte corporation
68:1A:B2	zte corporation
E0:05:C5	TP-LINK TECHNOLOGIES CO.,LTD.
A0:F3:C1	TP-LINK TECHNOLOGIES CO.,LTD.
8C:21:0A	TP-LINK TECHNOLOGIES CO.,LTD.
EC:17:2F	TP-LINK TECHNOLOGIES CO.,LTD.
EC:88:8F	TP-LINK TECHNOLOGIES CO.,LTD.
14:CF:92	TP-LINK TECHNOLOGIES CO.,LTD.
64:56:01	TP-LINK TECHNOLOGIES CO.,LTD.
14:CC:20	TP-LINK TECHNOLOGIES CO.,LTD.
BC:46:99	TP-LINK TECHNOLOGIES CO.,LTD.
0C:45:BA	HUAWEI TECHNOLOGIES CO.,LTD
84:77:78	Cochlear Limited
04:53:D5	Sysorex Global Holdings
CC:44:63	Apple, Inc.
6C:72:E7	Apple, Inc.
CC:A2:23	HUAWEI TECHNOLOGIES CO.,LTD
E8:08:8B	HUAWEI TECHNOLOGIES CO.,LTD
60:E7:01	HUAWEI TECHNOLOGIES CO.,LTD
00:08:83	Hewlett Packard
C4:34:6B	Hewlett Packard
8C:DC:D4	Hewlett Packard
34:64:A9	Hewlett Packard
D4:C9:EF	Hewlett Packard
A4:5D:36	Hewlett Packard
A0:D3:C1	Hewlett Packard
40:A8:F0	Hewlett Packard
6C:3B:E5	Hewlett Packard
08:2E:5F	Hewlett Packard
28:92:4A	Hewlett Packard
10:60:4B	Hewlett Packard
30:8D:99	Hewlett Packard
00:30:C1	Hewlett Packard
FC:3F:DB	Hewlett Packard
4C:A1:61	Rain Bird Corporation
7C:61:93	HTC Corporation
00:12:17	Cisco-Linksys, LLC
00:0C:41	Cisco-Linksys, LLC
00:0F:66	Cisco-Linksys, LLC
44:E0:8E	Cisco SPVTG
18:59:33	Cisco SPVTG
E4:48:C7	Cisco SPVTG
24:76:7D	Cisco SPVTG
2C:AB:A4	Cisco SPVTG
00:02:C7	ALPS ELECTRIC CO.,LTD.
04:76:6E	ALPS ELECTRIC CO.,LTD.
00:6B:8E	Shanghai Feixun Communication Co.,Ltd.
AC:85:3D	HUAWEI TECHNOLOGIES CO.,LTD
74:88:2A	HUAWEI TECHNOLOGIES CO.,LTD
78:D7:52	HUAWEI TECHNOLOGIES CO.,LTD
E0:24:7F	HUAWEI TECHNOLOGIES CO.,LTD
00:46:4B	HUAWEI TECHNOLOGIES CO.,LTD
70:7B:E8	HUAWEI TECHNOLOGIES CO.,LTD
54:89:98	HUAWEI TECHNOLOGIES CO.,LTD
08:19:A6	HUAWEI TECHNOLOGIES CO.,LTD
3C:F8:08	HUAWEI TECHNOLOGIES CO.,LTD
B4:15:13	HUAWEI TECHNOLOGIES CO.,LTD
28:31:52	HUAWEI TECHNOLOGIES CO.,LTD
DC:D2:FC	HUAWEI TECHNOLOGIES CO.,LTD
F8:A4:5F	Xiaomi Communications Co Ltd
8C:BE:BE	Xiaomi Communications Co Ltd
64:09:80	Xiaomi Communications Co Ltd
98:FA:E3	Xiaomi Communications Co Ltd
18:59:36	Xiaomi Communications Co Ltd
9C:99:A0	Xiaomi Communications Co Ltd
00:03:DD	Comark Interactive Solutions
00:10:7B	Cisco Systems, Inc
00:90:6D	Cisco Systems, Inc
00:90:BF	Cisco Systems, Inc
00:50:80	Cisco Systems, Inc
00:E0:18	ASUSTek COMPUTER INC.
00:0C:6E	ASUSTek COMPUTER INC.
00:1B:FC	ASUSTek COMPUTER INC.
00:1E:8C	ASUSTek COMPUTER INC.
00:15:F2	ASUSTek COMPUTER INC.
00:23:54	ASUSTek COMPUTER INC.
00:1F:C6	ASUSTek COMPUTER INC.
60:18:2E	ShenZhen Protruly Electronic Ltd co.
F4:CF:E2	Cisco Systems, Inc
50:1C:BF	Cisco Systems, Inc
28:5F:DB	HUAWEI TECHNOLOGIES CO.,LTD
40:4D:8E	HUAWEI TECHNOLOGIES CO.,LTD
78:1D:BA	HUAWEI TECHNOLOGIES CO.,LTD
00:1E:10	HUAWEI TECHNOLOGIES CO.,LTD
B0:AD:AA	Avaya Inc
10:CD:AE	Avaya Inc
50:CD:22	Avaya Inc
FC:A8:41	Avaya Inc
3C:B1:5B	Avaya Inc
C8:F4:06	Avaya Inc
2C:F4:C5	Avaya Inc
70:38:EE	Avaya Inc
88:F0:31	Cisco Systems, Inc
50:87:89	Cisco Systems, Inc
38:1C:1A	Cisco Systems, Inc
F4:0F:1B	Cisco Systems, Inc
BC:67:1C	Cisco Systems, Inc
A0:EC:F9	Cisco Systems, Inc
D4:6D:50	Cisco Systems, Inc
1C:E8:5D	Cisco Systems, Inc
C4:72:95	Cisco Systems, Inc
A0:55:4F	Cisco Systems, Inc
84:B8:02	Cisco Systems, Inc
BC:C4:93	Cisco Systems, Inc
00:19:47	Cisco SPVTG
00:22:CE	Cisco SPVTG
F0:29:29	Cisco Systems, Inc
EC:E1:A9	Cisco Systems, Inc
7C:69:F6	Cisco Systems, Inc
C0:8C:60	Cisco Systems, Inc
C0:25:5C	Cisco Systems, Inc
88:5A:92	Cisco Systems, Inc
E4:C7:22	Cisco Systems, Inc
C0:7B:BC	Cisco Systems, Inc
00:90:F2	Cisco Systems, Inc
00:17:3B	Cisco Systems, Inc
00:40:0B	Cisco Systems, Inc
00:60:09	Cisco Systems, Inc
00:60:47	Cisco Systems, Inc
00:06:C1	Cisco Systems, Inc
00:E0:14	Cisco Systems, Inc
00:E0:1E	Cisco Systems, Inc
AC:F2:C5	Cisco Systems, Inc
CC:C7:60	Apple, Inc.
08:74:02	Apple, Inc.
28:5A:EB	Apple, Inc.
28:F0:76	Apple, Inc.
84:28:5A	Saffron Solutions Inc
80:A1:AB	Intellisis
44:D8:84	Apple, Inc.
EC:85:2F	Apple, Inc.
28:6A:BA	Apple, Inc.
70:56:81	Apple, Inc.
7C:D1:C3	Apple, Inc.
F0:DC:E2	Apple, Inc.
B0:65:BD	Apple, Inc.
A8:20:66	Apple, Inc.
BC:67:78	Apple, Inc.
68:96:7B	Apple, Inc.
84:85:06	Apple, Inc.
